ticker,name,f_score,t_score,m_score,r_final,r_medallion,r_asre,quality_tier,stock_category,dip_stage,signal,market_context,weight_f,weight_t,weight_m,dip_quality_score,entry_timing_score,risk_reward,score_freeze_flag,kalman_covariance,data_quality_score,orig_weight,asre_weight,orig_capital,asre_capital,weight_delta,current_price,ret_1m,ret_6m,ret_1y,data_points,processing_time,error
ETERNAL.NS,Eternal Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8916666666666667,5.53,3.333,5530.0,3333.33,-2.197,241.18,-2.226,-21.209,4.948,490,10.704618215560913,
CGPOWER.NS,CG Power & Industrial Solutions,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.9,5.0,3.333,5000.0,3333.33,-1.667,838.2,10.888,14.36,29.793,495,10.820949792861938,
MUTHOOTFIN.NS,Muthoot Finance Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.855,5.49,3.333,5490.0,3333.33,-2.157,3311.4,-7.451,-2.298,46.756,495,10.999915361404419,
MCX.NS,Multi Commodity Exchange,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.855,5.23,3.333,5230.0,3333.33,-1.897,3391.0,18.475,78.568,179.716,495,11.039973974227905,
WAAREEENER.NS,Waaree Energies Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.7883333333333333,4.76,3.333,4760.0,3333.33,-1.427,3022.0,-12.121,-8.938,12.816,384,5.594686985015869,
SHRIRAMFIN.NS,Shriram Finance Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8916666666666667,4.6,3.333,4600.0,3333.33,-1.267,937.9,-8.296,12.688,45.197,495,7.456083059310913,
PTCIL.NS,PTC Industries Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.855,4.32,3.333,4320.0,3333.33,-0.987,16788.0,5.089,-3.111,36.643,494,7.661564826965332,
BEL.NS,Bharat Electronics Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8466666666666667,4.32,3.333,4320.0,3333.33,-0.987,423.65,-7.023,-0.854,31.242,495,7.789903402328491,
ONESOURCE.NS,Onesource Specialty Pharma,50.0,50.0,50.0,50.0,50.0,50.0,N/A,N/A,UNKNOWN,⚠️  No data (recent IPO/unlisted),N/A,,,,,,,,,,3.82,3.333,3820.0,3333.33,-0.487,,,,,0,0.0,Insufficient historical data available
ATHER.NS,Ather Energy Ltd.,50.0,50.0,50.0,50.0,50.0,50.0,N/A,N/A,UNKNOWN,⚠️  No data (recent IPO/unlisted),N/A,,,,,,,,,,3.46,3.333,3460.0,3333.33,-0.127,,,,,0,0.0,Insufficient historical data available
UNIMECH.NS,Billionbrains Garage Ventures,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.855,4.18,3.333,4180.0,3333.33,-0.847,941.2,3.021,-5.701,2.193,340,5.556854963302612,
APARINDS.NS,Apar Industries Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8466666666666667,4.24,3.333,4240.0,3333.33,-0.907,12650.0,12.28,48.283,100.778,495,7.981313705444336,
PREMIERENE.NS,Premier Energies Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8466666666666667,3.84,3.333,3840.0,3333.33,-0.507,981.6,-2.143,-4.243,-0.904,422,6.615652084350586,
PAYTM.NS,One97 Communications (Paytm),,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.9,3.43,3.333,3430.0,3333.33,-0.097,1131.2,-1.536,-15.113,30.616,495,7.683330059051514,
AMBER.NS,Amber Enterprises India Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8466666666666667,3.34,3.333,3340.0,3333.33,-0.007,8476.5,9.878,18.644,35.907,495,5.933305263519287,
TVSMOTOR.NS,TVS Motor Company Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8466666666666667,3.31,3.333,3310.0,3333.33,0.023,3466.8,-7.729,-0.213,25.577,495,6.016186714172363,
MOTHERSON.NS,Samvardhana Motherson Intl.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.855,3.17,3.333,3170.0,3333.33,0.163,129.92,5.781,23.194,34.344,495,6.0707926750183105,
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.855,3.03,3.333,3030.0,3333.33,0.303,3713.5,9.974,6.459,-3.56,495,6.007745265960693,
ZENTEC.NS,Zen Technologies Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8916666666666667,2.99,3.333,2990.0,3333.33,0.343,1554.9,2.007,12.308,5.296,495,6.077924728393555,
SUZLON.NS,Suzlon Energy Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.8466666666666667,2.69,3.333,2690.0,3333.33,0.643,53.84,7.144,-6.883,-5.461,495,6.344542503356934,
JAINRES.NS,Jain Resource Recycling Ltd.,50.0,50.0,50.0,50.0,50.0,50.0,N/A,N/A,UNKNOWN,⚠️  No data (recent IPO/unlisted),N/A,,,,,,,,,,2.24,3.333,2240.0,3333.33,1.093,,,,,0,0.0,Insufficient historical data available
BAJFINANCE.NS,Bajaj Finance Ltd.,,,,,,,N/A,N/A,BALANCED,📉 Weak,N/A,0.4,0.3,0.3,,,,,,0.9,2.63,3.333,2630.0,3333.33,0.703,910.45,0.502,-9.426,0.954,495,6.268686771392822,
