Date,Time,Portfolio_Value,Daily_Return_%,Volatility_%,VAR_95_%,Sharpe_Ratio,Max_Drawdown_%,Largest_Position_%,Cash_%,Equity_%,Num_Positions,Dip_Positions
2026-01-18,22:24,99,985.80,+0.00,0.0,+0.0,0.00,+0.0,8.0,71.6,28.4,4,3
2026-01-19,09:57,99,985.80,+0.00,0.0,+0.0,0.00,+0.0,8.0,71.6,28.4,4,3
2026-01-20,20:32,99,605.04,-0.38,0.0,+0.0,0.00,+0.4,7.9,71.9,28.1,4,3
2026-01-21,22:56,99,212.97,-0.39,0.0,+0.0,0.00,+0.8,7.8,72.2,27.8,4,3
2026-01-23,10:28,99,492.07,+0.29,0.0,+0.0,0.00,+0.5,10.0,69.0,31.0,4,2
2026-01-25,18:12,99,294.65,-0.19,0.0,+0.0,0.00,+0.7,9.9,62.0,38.0,5,3
2026-01-29,22:47,99,336.66,+0.05,0.0,+0.0,0.00,+0.7,10.1,62.0,38.0,5,3
2026-01-30,09:31,99,790.71,+0.46,0.0,+0.0,0.00,+0.2,10.2,53.7,46.3,6,3
2026-02-01,10:53,99,041.20,-0.75,0.0,+0.0,0.00,+1.0,10.3,54.1,45.9,6,3
2026-02-03,22:00,99,375.00,+0.36,0.0,+0.0,0.00,+0.6,10.4,58.1,41.9,5,2
2026-02-04,22:05,98,847.45,-0.53,0.0,+0.0,0.00,+1.1,10.2,68.6,31.4,4,2
2026-02-05,12:09,98,907.59,+0.07,0.0,+0.0,0.00,+1.1,10.1,56.6,43.4,6,2
2026-02-06,23:44,99,266.00,+0.37,0.0,+0.0,0.00,+0.7,8.0,79.7,20.3,3,0
2026-02-08,21:24,99,263.40,+0.00,0.0,+0.0,0.00,+0.7,12.0,82.0,18.0,2,0
2026-02-11,21:51,93,699.50,-5.61,0.0,+0.0,0.00,+6.3,13.1,86.9,19.5,2,0
2026-02-12,22:50,99,209.23,+5.88,0.0,+0.0,0.00,+0.8,12.2,76.0,24.0,3,0
2026-02-13,16:57,75,426.13,-23.97,0.0,+0.0,0.00,+24.6,16.1,100.0,31.5,3,0
2026-02-15,11:01,98,586.88,+30.72,0.0,+0.0,0.00,+1.4,11.9,60.5,39.5,5,1
2026-02-16,22:12,98,586.88,+0.00,0.0,+0.0,0.00,+1.4,11.9,60.5,39.5,5,1
2026-02-18,22:35,99,228.23,+0.65,0.0,+0.0,0.00,+0.8,12.2,60.1,39.9,5,1
2026-02-19,13:27,99,079.34,-0.15,0.0,+0.0,0.00,+0.9,12.2,60.2,39.8,5,1
2026-02-20,22:10,99,517.90,+0.45,0.0,+0.0,0.00,+0.5,12.2,65.9,34.1,4,1
2026-02-26,12:57,99,963.26,+0.46,0.0,+0.0,0.00,+0.0,12.6,53.5,46.5,5,0
2026-02-27,23:43,97,863.13,-2.08,0.0,+0.0,0.00,+2.1,0.0,100.0,0.0,0,0
2026-03-07,08:25,97,863.13,+0.00,0.0,+0.0,0.00,+2.1,0.0,100.0,0.0,0,0
