date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,sma_200,trend_positive,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2010-01-04,12.169187545776367,15.6899995803833,15.75,15.119999885559082,15.239999771118164,180845200,BAC,,,,,,,,,,,,,,,,,,20.040000915527344,0.01695979314647067,0.020138773393858056,0.041832612431138116,1.2373628554065919,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2010-01-05,12.564743041992188,16.200000762939453,16.209999084472656,15.699999809265137,15.739999771118164,209521300,BAC,,,,,,,,,,,,,,,,,,19.350000381469727,0.0026470962456217606,0.01837991225649538,0.03250485635409395,1.2489397437757748,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-06,12.712104797363281,16.389999389648438,16.540000915527344,16.030000686645508,16.209999084472656,205257900,BAC,,,,,,,,,,,,,,,,,,19.15999984741211,0.0007040555574093776,0.0020053280799607887,0.011728309738332943,1.250250117306932,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-07,13.130934715270996,16.93000030517578,17.190000534057617,16.510000228881836,16.68000030517578,320868400,BAC,,,,,,,,,,,,,,,,,,19.059999465942383,0.0042212941763988265,0.021347592681612904,0.0329469759387786,1.2492542181753152,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-08,13.014591217041016,16.780000686645508,17.100000381469727,16.6299991607666,16.979999542236328,220104700,BAC,,,,,,,,,,,,,,,,,,18.1299991607666,0.003327762897745501,-0.005878530210253086,-0.008859989121466016,1.2499646368742678,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-11,13.130934715270996,16.93000030517578,17.139999389648438,16.719999313354492,16.989999771118164,168991600,BAC,,,,,,,,,,,,,,,,,,17.549999237060547,0.001396558108890389,0.0006570238378245108,0.008939190249834139,1.2464292852108951,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-12,12.6888427734375,16.360000610351562,16.75,16.170000076293945,16.719999313354492,223486800,BAC,,,,,,,,,,,,,,,,,,18.25,-0.009326241292745063,-0.01444511078359434,-0.033668026258095285,1.2516235522199333,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-13,12.890493392944336,16.6200008392334,16.780000686645508,16.149999618530273,16.43000030517578,192609900,BAC,,,,,,,,,,,,,,,,,,17.850000381469727,0.008446234854316614,0.01132575029664129,0.015892433935321693,1.229824466095279,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-14,13.045613288879395,16.81999969482422,16.920000076293945,16.610000610351562,16.6299991607666,142634200,BAC,,,,,,,,,,,,,,,,,,17.6299991607666,0.0027045677121395606,0.004611285763449935,0.012033624879169702,1.2348123931043966,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-15,12.611278533935547,16.260000228881836,16.649999618530273,16.229999542236328,16.639999389648438,195117100,BAC,,,,,,,,,,,,,,,,,,17.90999984741211,-0.011224231376507299,-0.020327902623510474,-0.03329366683132007,1.245180732001403,40.0,,50.0,,,0.0,0,89.23,35.0,4.61,0.21,LATE,50.11,True,0.18461538461538463,,13.124625507701303,11.16466152316125,15.084589492241356,1.1178638507596046,,,,0.45231633633345586,0.24785407402603307,0.2998295896405111,0.13850002288818358,-0.08085072041826064,37.141822841725656,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=11%, M=100%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
