date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,r_asre_base,sigma_f,sigma_t,sigma_m,inv_vol_f,inv_vol_t,inv_vol_m,rating_velocity,rating_acceleration,accel_term,medallion_dip_dip_quality_score,medallion_dip_entry_timing_score,medallion_dip_momentum_divergence,medallion_dip_fundamental_strength,medallion_dip_expected_upside,medallion_dip_risk_reward_ratio,medallion_dip_dip_stage,medallion_dip_confidence,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2015-02-13,27.351343154907227,27.558000564575195,27.62700080871582,27.329999923706055,27.375499725341797,47382000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2755.8000564575195,14.6899995803833,0.004116411152062627,,0.009432050204966291,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2015-02-17,27.046146392822266,27.250499725341797,27.649999618530273,27.163000106811523,27.558000564575195,39174000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2725.0499725341797,15.800000190734863,0.0015730852939983553,,-0.011158314570494654,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.011158314570494654,-0.0,0.0,0.0,-0.0,1.0,0.0
2015-02-18,26.92902946472168,27.13249969482422,27.377500534057617,26.977500915527344,27.19099998474121,31164000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2713.249969482422,15.449999809265137,9.52085688583626e-05,,-0.004330196939759001,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.004330196939759001,-0.0,0.0,0.0,-0.0,1.0,0.0
2015-02-19,27.11760711669922,27.322500228881836,27.343000411987305,27.037500381469727,27.12350082397461,30834000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2732.2500228881836,15.289999961853027,-0.0007138873639540577,,0.007002691834319341,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.007002691834319341,0.0,0.0,0.0,0.0,1.0,0.0
2015-02-20,26.886850357055664,27.09000015258789,27.378999710083008,26.905000686645508,27.378999710083008,38234000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2709.000015258789,14.300000190734863,0.006000618112498302,,-0.008509472937918594,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.008509472937918594,-0.0,0.0,0.0,-0.0,1.0,0.0
2015-02-23,26.54939842224121,26.75,26.96500015258789,26.600000381469727,26.950000762939453,32906000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2675.0,14.5600004196167,-0.0001420127746486477,,-0.012550762298737417,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.012550762298737417,-0.0,0.0,0.0,-0.0,1.0,0.0
2015-02-24,26.730531692504883,26.9325008392334,26.969999313354492,26.549999237060547,26.577499389648438,28406000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2693.25008392334,13.6899995803833,0.002840731147456532,,0.006822461279753167,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.006822461279753167,0.0,0.0,0.0,0.0,1.0,0.0
2015-02-25,27.161277770996094,27.366500854492188,27.478500366210938,26.90049934387207,26.922000885009766,40836000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2736.6500854492188,13.84000015258789,-0.0008497836639248524,,0.016114360038432363,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.016114360038432363,0.0,0.0,0.0,0.0,1.0,0.0
2015-02-26,27.754793167114258,27.964500427246094,28.006500244140625,27.254499435424805,27.28700065612793,54032000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2796.4500427246094,13.90999984741211,-0.0011813069708070945,,0.021851517515281582,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.021851517515281582,0.0,0.0,0.0,0.0,1.0,0.0
2015-02-27,27.92053985595703,28.131500244140625,28.47100067138672,27.851499557495117,27.907499313354492,68328000,GOOGL,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,29.796755336022112,2813.1500244140625,13.34000015258789,-0.003406193604273411,,0.005971850537040968,1.0,70.0,,50.0,,,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,False,,79.09643011531602,77.13646613077597,81.05639409985608,1.001,74.09643011531602,,,0.4452866413570617,0.2526105053142291,0.30210285332870923,-0.2070000171661377,0.033969600825667856,33.27188603795813,False,False,"📊 BALANCED SCENARIO
Components aligned: F=85%, T=23%, M=100%",,,1.3465487360652786,37.750689368972985,31.816399325030694,0.7426392920037033,0.026489582487515914,0.031430332193916014,0.0,0.0,0.0,0.0,0,76.75,100.0,10.61,0.49,RECOVERY,64.04,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.005971850537040968,0.0,0.0,0.0,0.0,1.0,0.0
