date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,sma_200,trend_positive,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2010-01-04,23.13005828857422,30.950000762939453,31.100000381469727,30.59000015258789,30.6200008392334,38409100,MSFT,,,,,,,,,,,,,,,,,,20.040000915527344,0.01695979314647067,0.014827743046786912,0.015419987787461675,0.6743451613172193,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2010-01-05,23.137537002563477,30.959999084472656,31.100000381469727,30.639999389648438,30.850000381469727,49749600,MSFT,,,,,,,,,,,,,,,,,,19.350000381469727,0.0026470962456217606,-0.0012892430621116446,0.0003230475375359809,0.6614196887501684,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-06,22.995534896850586,30.770000457763672,31.079999923706055,30.520000457763672,30.8799991607666,58182400,MSFT,,,,,,,,,,,,,,,,,,19.15999984741211,0.0007040555574093776,-0.011187617531948302,-0.006136906728924085,0.6736684108639538,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-07,22.756385803222656,30.450000762939453,30.700000762939453,30.190000534057617,30.6299991607666,50559700,MSFT,,,,,,,,,,,,,,,,,,19.059999465942383,0.0042212941763988265,-0.003916455804208074,-0.010399729933818658,0.6841449844070815,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-08,22.9133243560791,30.65999984741211,30.8799991607666,30.239999771118164,30.280000686645508,51197400,MSFT,,,,,,,,,,,,,,,,,,18.1299991607666,0.003327762897745501,0.006553146783688568,0.006896521484762719,0.685036489483634,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-11,22.621870040893555,30.270000457763672,30.760000228881836,30.1200008392334,30.709999084472656,68754700,MSFT,,,,,,,,,,,,,,,,,,17.549999237060547,0.001396558108890389,-0.0039062564675176326,-0.012720136711982244,0.7046779571511834,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-12,22.472402572631836,30.06999969482422,30.399999618530273,29.90999984741211,30.149999618530273,65912100,MSFT,,,,,,,,,,,,,,,,,,18.25,-0.009326241292745063,-0.010893245825233655,-0.006607226954572387,0.7213755377720235,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-13,22.681652069091797,30.350000381469727,30.520000457763672,30.010000228881836,30.260000228881836,51863500,MSFT,,,,,,,,,,,,,,,,,,17.850000381469727,0.008446234854316614,0.009691599381514981,0.009311629181482983,0.718339621783412,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-14,23.137537002563477,30.959999084472656,31.100000381469727,30.260000228881836,30.309999465942383,63228100,MSFT,,,,,,,,,,,,,,,,,,17.6299991607666,0.0027045677121395606,0.0026177777374634115,0.020098803800192577,0.7481376275674949,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2010-01-15,23.062788009643555,30.860000610351562,31.239999771118164,30.709999084472656,31.079999923706055,79913200,MSFT,,,,,,,,,,,,,,,,,,17.90999984741211,-0.011224231376507299,-0.01392513930368322,-0.0032299249702254507,0.7345839873500991,40.0,,50.0,,,0.0,1.91,89.41,35.0,6.62,0.36,LATE,50.26,True,0.18461538461538463,,14.502215759688696,12.542251775148642,16.46217974422875,1.1231956313689493,,,,0.4516937094375123,0.24751289551806951,0.30079339504441827,0.13850002288818358,-0.12719616496217057,36.89944263958592,False,False,"📊 BALANCED SCENARIO
Components aligned: F=40%, T=7%, M=96%",7.384615384615385,,False,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
