date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2025-02-13,9.344579696655273,10.359999656677246,10.40999984741211,10.25,10.289999961853027,5608000,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.1944442060258655,15.100000381469727,0.010557536581541571,0.006619940586982009,0.011718739086063357,0.8801172910698992,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2025-02-14,9.479878425598145,10.510000228881836,10.529999732971191,10.390000343322754,10.420000076293945,4494300,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.29861127005683,14.770000457763672,-4.9150054415414424e-05,0.001934206434147212,0.014478820190685138,0.8647603025780969,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.014478820190685138,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-18,9.795572280883789,10.859999656677246,10.930000305175781,10.520000457763672,10.529999732971191,7830800,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.541666428248088,15.350000381469727,0.0029358340027980656,0.007142836628075688,0.033301562338086343,0.9031681439218973,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.033301562338086343,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-19,9.732433319091797,10.789999961853027,10.859999656677246,10.710000038146973,10.720000267028809,3467900,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.493055529064603,15.270000457763672,0.0023549076262954216,0.0003833708734071184,-0.0064456442943973125,0.8979431022186977,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0064456442943973125,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-20,9.687334060668945,10.739999771118164,10.890000343322754,10.670000076293945,10.819999694824219,3526200,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.458333174387614,15.65999984741211,-0.00416032470826988,-0.015328592797684726,-0.004633937989956816,0.8664054033137142,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.004633937989956816,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-21,9.615175247192383,10.65999984741211,10.760000228881836,10.5600004196167,10.75,6060200,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.402777671813965,18.209999084472656,-0.017104102948802602,-0.01245377305408868,-0.007448782626717443,0.8504090716035828,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.007448782626717443,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-24,9.597136497497559,10.640000343322754,10.729999542236328,10.40999984741211,10.529999732971191,5459600,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.388889127307468,18.979999542236328,-0.004550422471648163,0.0043349994227217525,-0.001876126114036536,0.8243077881406703,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.001876126114036536,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-25,9.840672492980957,10.90999984741211,10.970000267028809,10.710000038146973,10.729999542236328,5889600,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.5763887829250764,19.43000030517578,-0.004973177992678157,-0.00019623574633942376,0.025375892422672353,0.8185285613512113,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.025375892422672353,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-26,9.687334060668945,10.739999771118164,10.9399995803833,10.720000267028809,10.90999984741211,5092600,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.458333174387614,19.100000381469727,0.0005048259926943022,-0.002158567745835782,-0.01558204204139102,0.8270436907959692,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.01558204204139102,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-27,9.714394569396973,10.770000457763672,10.8100004196167,10.609999656677246,10.710000038146973,4850400,WU,983600000.0,,0.36,,,,,,,,,,15.0,0.5,10.0,12.555917039446928,7.4791669845581055,21.1299991607666,-0.01596190430433686,0.005506442525001098,0.0027933600823888405,0.8289061796947607,40.0,,50.0,,,True,0.28882379164209515,,23.43726927369559,21.477305289155538,25.397233258235644,1.1917745884007047,,,,0.4453887955518055,0.2546577675584287,0.2999534368897657,-0.28350000381469725,0.1844267871291108,28.414866751502377,False,False,18.074156234011888,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0027933600823888405,0.0,0.0,0.0,0.0,1.0,0.0
