date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,r_asre_base,sigma_f,sigma_t,sigma_m,inv_vol_f,inv_vol_t,inv_vol_m,rating_velocity,rating_acceleration,accel_term,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2021-01-01,10.029999732971191,10.029999732971191,10.100000381469727,9.960000038146973,9.960000038146973,20633985,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.2898662208039084,22.75,0.005080821253407031,0.014891583066053427,0.007028081782742834,-0.23451159101579316,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2021-01-04,10.039999961853027,10.039999961853027,10.180000305175781,9.979999542236328,10.140000343322754,32788745,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.2911522584687536,26.969999313354492,-0.013613983822124975,-0.025199390938262844,0.0009970318193490701,-0.1767603513927945,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0009970318193490701,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-05,9.960000038146973,9.960000038146973,10.050000190734863,9.800000190734863,9.979999542236328,29321300,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.2808642024365964,25.34000015258789,0.006887328746690624,-0.0001635851064779592,-0.007968119921316186,-0.17649438656663188,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.007968119921316186,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-06,10.140000343322754,10.140000343322754,10.369999885559082,9.800000190734863,10.0,54459555,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.304012389830601,25.06999969482422,0.005978513184986323,0.024873186754742038,0.01807231972754786,-0.11207787399107072,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.01807231972754786,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-07,10.199999809265137,10.199999809265137,10.350000381469727,10.140000343322754,10.239999771118164,36058195,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.311728370533068,22.3700008392334,0.014857498305214323,-0.013092761948581222,0.005917106894566704,-0.11516839925188824,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.005917106894566704,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-08,10.6899995803833,10.6899995803833,10.710000038146973,10.239999771118164,10.300000190734863,91751630,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3747427443908566,21.559999465942383,0.005697714659280706,0.008412885394116332,0.04803919414518765,-0.07400374030560153,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.04803919414518765,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-11,11.220000267028809,11.220000267028809,11.220000267028809,10.720000267028809,10.880000114440918,84690410,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.4429012689080258,24.079999923706055,-0.006740825836411779,-0.009305339547827751,0.0495791120158775,-0.12349184652019751,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0495791120158775,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-12,11.140000343322754,11.140000343322754,11.479999542236328,11.0,11.350000381469727,66362855,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.4326132128758686,23.329999923706055,0.00021121912844268564,-0.005344159207363308,-0.007130117807674474,-0.09991021022900734,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.007130117807674474,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-13,10.729999542236328,10.729999542236328,11.350000381469727,10.59000015258789,11.260000228881836,45360430,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3798867724069352,22.209999084472656,0.0026929787492038226,0.01953762290318961,-0.03680437957366656,-0.21896240813300658,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.03680437957366656,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-14,10.789999961853027,10.789999961853027,10.960000038146973,10.550000190734863,10.550000190734863,21917620,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3876028757527041,23.25,-0.003501980199372312,-0.0038326072798339217,0.005591838040674757,-0.20910816273329605,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.005591838040674757,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-15,10.819999694824219,10.819999694824219,10.989999771118164,10.550000190734863,10.819999694824219,27246045,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3914608661039376,24.34000015258789,-0.007292657904037547,0.009778784865448698,0.0027803274399678113,-0.21928933487354157,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0027803274399678113,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-18,10.710000038146973,10.710000038146973,10.979999542236328,10.520000457763672,10.84000015258789,33757245,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.377314819720547,24.34000015258789,-0.007292657904037547,0.009778784865448698,-0.010166327151549304,-0.22457273315102677,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.010166327151549304,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-19,11.0600004196167,11.0600004196167,11.170000076293945,10.800000190734863,10.800000190734863,35709075,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.4223251568437114,23.239999771118164,0.007851960589843054,-0.0038101551368722175,0.03267977406378075,-0.23703789320664193,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.03267977406378075,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-20,11.109999656677246,11.109999656677246,11.210000038146973,11.010000228881836,11.100000381469727,22861335,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.4287550998813332,21.579999923706055,0.013838692292137411,0.0058963973208727705,0.004520726506652251,-0.23977841933320587,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.004520726506652251,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-21,10.75,10.75,11.260000228881836,10.619999885559082,11.199999809265137,25851395,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3824588477366255,21.31999969482422,0.0009116558716901757,-0.005861833620815604,-0.032403210423222806,-0.20888892772943748,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.032403210423222806,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-22,10.569999694824219,10.569999694824219,10.920000076293945,10.520000457763672,10.760000228881836,24028615,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3593106603426208,21.90999984741211,-0.0035394164744094736,0.0014342653798866678,-0.01674421443495644,-0.2780975377335332,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.01674421443495644,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-25,10.239999771118164,10.239999771118164,10.770000457763672,10.109999656677246,10.670000076293945,19722055,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3168723985491466,23.190000534057617,0.003943819855746211,0.020050896220141334,-0.031220428877367423,-0.3598836215870494,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.031220428877367423,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-27,9.920000076293945,9.920000076293945,10.229999542236328,9.880000114440918,10.1899995803833,21260595,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.2757201744205178,37.209999084472656,-0.024440461382450485,-0.02694609374633694,-0.031249970896168877,-0.21197156822084512,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.031249970896168877,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-28,9.800000190734863,9.800000190734863,9.970000267028809,9.699999809265137,9.779999732971191,14131795,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.2602880903722817,30.209999084472656,0.008600200820512827,0.011983832849664644,-0.012096762564130281,-0.24416315659798885,25.0,,50.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,1.1803220414107325,37.74885068673619,31.712107084366664,0.8472264050960111,0.026490872749971427,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.012096762564130281,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-29,10.260000228881836,10.260000228881836,10.289999961853027,9.899999618530273,9.989999771118164,26494415,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.319444473878837,33.09000015258789,-0.02001958917681823,-0.005440872834942656,0.04693877848919503,-0.2724540763161523,25.0,856.8136789237465,5.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,0.11803220414107325,10.062305898749054,31.712107084366664,8.47226405096011,0.09938079899999065,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.04693877848919503,0.0,0.0,0.0,0.0,1.0,0.0
2021-02-01,10.470000267028809,10.470000267028809,10.59000015258789,10.199999809265137,10.399999618530273,25295485,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3464506516240753,30.239999771118164,0.01664550906637663,0.0048270189814174636,0.020467839518738318,-0.28066778495865663,25.0,884.4468573970182,5.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,0.11803220414107325,13.85070775314958,31.712107084366664,8.47226405096011,0.07219847662821455,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.020467839518738318,0.0,0.0,0.0,0.0,1.0,0.0
2021-02-02,10.5,10.5,10.770000457763672,10.279999732971191,10.600000381469727,20331525,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3503086419753088,25.559999465942383,0.014140224467191542,0.008166506249842387,0.002865303935632557,-0.28505189633191635,25.0,634.6857724368444,5.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,0.11803220414107325,16.485639683963548,31.712107084366664,8.47226405096011,0.06065885335179033,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.002865303935632557,0.0,0.0,0.0,0.0,1.0,0.0
2021-02-03,10.5,10.5,10.640000343322754,10.4399995803833,10.579999923706055,19681310,ADANIPOWER.NS,149556300000.0,,1.944,,,,,,,,,,15.0,0.5,10.0,26.162655802530555,1.3503086419753088,22.90999984741211,0.0007863145594166898,-0.0031766322402755343,0.0,-0.2713365382482572,25.0,473.10920816443996,5.0,,,False,,47.601920963306725,45.64195697876667,49.56188494784678,1.5,50.0,,,0.4449912638306037,0.2513010102107038,0.3037077259586925,-0.1625,-0.0711801151104248,11.54182083686774,False,False,50.0,50.0,0.11803220414107325,18.467610337532772,31.712107084366664,8.47226405096011,0.05414885747116092,0.03153369775586362,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
