date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2020-12-30,231.5933380126953,231.5933380126953,232.1999969482422,222.7866668701172,224.0,128538000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,23159.33380126953,22.770000457763672,0.0014267990940848296,0.0014267990940848296,0.0432288658824449,0.9030904251064216,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2020-12-31,235.22332763671875,235.22332763671875,239.57333374023438,230.3733367919922,233.3300018310547,148949700,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,23522.332763671875,22.75,0.005080821253407031,0.005080821253407031,0.01567398119122254,0.8447869307004061,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.01567398119122254,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-04,243.2566680908203,243.2566680908203,248.163330078125,239.06333923339844,239.82000732421875,145914600,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,24325.66680908203,26.969999313354492,-0.013613983822124975,-0.013613983822124975,0.03415197180829077,0.735768565858675,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.03415197180829077,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-05,245.0366668701172,245.0366668701172,246.94667053222656,239.73333740234375,241.22000122070312,96735600,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,24503.66668701172,25.34000015258789,0.006887328746690624,0.006887328746690624,0.007317368906131216,0.7473459867985004,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.007317368906131216,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-06,251.9933319091797,251.9933319091797,258.0,249.6999969482422,252.8300018310547,134100000,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,25199.33319091797,25.06999969482422,0.005978513184986323,0.005978513184986323,0.028390302267496503,0.7549360998785828,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.028390302267496503,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-07,272.0133361816406,272.0133361816406,272.3299865722656,258.3999938964844,259.2099914550781,154496700,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,27201.333618164062,22.3700008392334,0.014857498305214323,0.014857498305214323,0.07944656360858104,0.8995182475227526,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.07944656360858104,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-08,293.3399963378906,293.3399963378906,294.8299865722656,279.46331787109375,285.3333435058594,225166500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,29333.999633789062,21.559999465942383,0.005697714659280706,0.005697714659280706,0.07840299470467449,0.9546489658797821,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.07840299470467449,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-11,270.39666748046875,270.39666748046875,284.80999755859375,267.8733215332031,283.1333312988281,177904800,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,27039.666748046875,24.079999923706055,-0.006740825836411779,-0.006740825836411779,-0.07821411721500826,1.1104386848704397,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.07821411721500826,-0.0,0.0,0.0,-0.0,1.0,0.0
2021-01-12,283.14666748046875,283.14666748046875,289.3333435058594,275.7799987792969,277.0,138812100,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,28314.666748046875,23.329999923706055,0.00021121912844268564,0.00021121912844268564,0.047152947996006445,1.0857212634050293,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.047152947996006445,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-13,284.8033447265625,284.8033447265625,286.8233337402344,277.3333435058594,284.2533264160156,99937500,TSLA,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,8.629179572710665,28480.33447265625,22.209999084472656,0.0026929787492038226,0.0026929787492038226,0.005850950889994211,1.0732228857561876,25.0,,50.0,,,0.0,0,90.21,35.0,5.1,0.23,LATE,48.03,True,0.16398461538461537,,9.022046742230597,7.0620827576905425,10.98201072677065,1.1126809076099529,,,,0.4444435049877818,0.25428739395989564,0.3012691010523225,-0.29000000953674315,0.12701413863285965,37.94131200520378,False,False,"📊 BALANCED SCENARIO
Components aligned: F=36%, T=10%, M=100%",5.826373384615384,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.005850950889994211,0.0,0.0,0.0,0.0,1.0,0.0
